run_id,stage,task,metric_name,metric_value,"notes",timestamp
run_1778802213,Text,task,query_latency_bug_ms,86.94624900817871,"Found 1708 docs",2026-05-15T01:43:33.392314
run_1778802213,Text,task,query_latency_feature_ms,64.11242485046387,"Found 767 docs",2026-05-15T01:43:33.456689
run_1778802256,Text,task,storage_ratio_pct,53.576634203897044,"Parquet vs CSV",2026-05-15T01:44:16.132060
run_1778802366,Iterative,task,pagerank_delta,0.7162205602056391,"Iteration 1",2026-05-15T01:46:06.873917
run_1778802369,Iterative,task,pagerank_delta,0.2879600641256986,"Iteration 2",2026-05-15T01:46:09.077597
run_1778802369,Iterative,task,pagerank_delta,None,"Iteration 3",2026-05-15T01:46:09.753779
run_1778802579,Iterative,task,pagerank_delta,0.6866576893213889,"Iteration 1",2026-05-15T01:49:39.548808
run_1778802582,Iterative,task,pagerank_delta,0.142394494758326,"Iteration 2",2026-05-15T01:49:42.147323
run_1778802584,Iterative,task,pagerank_delta,0.0,"Iteration 3",2026-05-15T01:49:44.280529
run_1778802586,Iterative,task,pagerank_delta,0.0,"Iteration 4",2026-05-15T01:49:46.521600
run_1778802588,Iterative,task,pagerank_delta,0.0,"Iteration 5",2026-05-15T01:49:48.320721
run_1778802590,Iterative,task,pagerank_delta,0.0,"Iteration 6",2026-05-15T01:49:50.490613
run_1778802592,Iterative,task,pagerank_delta,0.0,"Iteration 7",2026-05-15T01:49:52.385759
run_1778802594,Iterative,task,pagerank_delta,0.0,"Iteration 8",2026-05-15T01:49:54.118389
run_1778802595,Iterative,task,pagerank_delta,0.0,"Iteration 9",2026-05-15T01:49:55.898271
run_1778802597,Iterative,task,pagerank_delta,0.0,"Iteration 10",2026-05-15T01:49:57.551553
run_1778802598,Iterative,task,pagerank_latency_sec,25.80275797843933,"10 itérations",2026-05-15T01:49:58.281539
run_1778802628,Iterative,task,pagerank_opt_latency_sec,2.867727518081665,"2 itérations optimisées",2026-05-15T01:50:28.829200
run_1778802664,LLM,task,quality_pass_rate_pct,12.16710182767624,"Pass rate, min_len=50",2026-05-15T01:51:04.715965
